BU_CODE	BU_NAAM	WK_CODE	GM_CODE	GM_NAAM	WATER	POSTCODE	DEK_PERC	AANT_INW	AANT_MAN	AANT_VROUW	P_00_14_JR	P_15_24_JR	P_25_44_JR	P_45_64_JR	P_65_EO_JR	P_ONGEHUWD	P_GEHUWD	P_GESCHEID	P_VERWEDUW	BEV_DICHTH	AANTAL_HH	P_EENP_HH	P_HH_Z_K	P_HH_M_K	GEM_HH_GR	P_WEST_AL	P_N_W_AL	P_MAROKKO	P_ANT_ARU	P_SURINAM	P_TURKIJE	P_OVER_NW	AUTO_TOT	AUTO_HH	AUTO_LAND	BEDR_AUTO	MOTOR_2W	A_BST_B	A_BST_NB	A_LFTJ6J	A_LFTO6J	AF_ZIEK_I	AV5_ZIEK_I	AV10ZIEK_I	AV20ZIEK_I	AF_ZIEK_E	AV5_ZIEK_E	AV10ZIEK_E	AV20ZIEK_E	AF_KDV	AV1_KDV	AV3_KDV	AV5_KDV	AF_BSO	AV1_BSO	AV3_BSO	AV5_BSO	AF_OPRITH	AF_TREINST	AF_OVERST	AF_BIBLIO	AF_IJSBAAN	AF_BRANDW	OPP_TOT	OPP_LAND	OPP_WATER
BU00030000	Appingedam-Centrum	WK000300	GM0003	Appingedam	NEE	9901	1	2305	1075	1230	10	10	21	29	30	38	39	9	14	2739	1275	52	29	19	1,8	6	3	0	0	0	0	2	1015	0,8	1205	80	80	875	145	300	720	3,7	1,0	1,0	1,0	3,7	1,0	1,0	1,0	1,3	0,1	1,0	4,0	1,1	0,4	2,5	5,0	0,5	0,6	25,2	0,4	22,3	0,9	90	84	5
BU00030001	Appingedam-West	WK000300	GM0003	Appingedam	NEE	9903	5	3165	1575	1595	18	10	22	33	16	42	48	6	4	2006	1340	25	37	38	2,4	6	3	0	0	0	1	1	1510	1,1	956	65	155	1245	265	540	970	4,6	0,9	1,0	1,0	4,6	0,9	1,0	1,0	2,0	0,0	1,0	1,7	1,0	0,6	2,0	3,5	0,9	1,5	24,4	1,1	21,4	0,7	163	158	5
BU00030002	Appingedam-Oost	WK000300	GM0003	Appingedam	NEE	9902	1	5970	2870	3100	16	11	23	28	23	41	43	8	8	2101	2690	34	33	34	2,2	9	8	1	1	1	4	2	2485	0,9	874	150	265	2115	370	660	1825	3,5	1,0	1,0	1,0	3,5	1,0	1,0	1,0	0,7	0,8	1,1	4,0	0,8	0,9	2,9	5,5	1,1	1,7	25,8	1,6	22,9	1,6	295	284	11
BU00030007	Verspreide huizen Damsterdiep en Eemskanaal	WK000300	GM0003	Appingedam	NEE	9903	4	355	185	165	23	10	27	30	9	51	44	4	1	66	120	11	35	54	3,0	5	0	0	-99999997	-99999997	-99999997	-99999997	185	1,6	34	65	35	130	55	65	125	5,3	0,5	1,0	1,0	5,3	0,5	1,0	1,0	2,3	0,0	0,8	1,0	1,2	0,6	1,8	2,9	1,7	2,4	24,4	2,0	21,5	1,4	559	540	19
BU00030008	Verspreide huizen ten zuiden van Eemskanaal	WK000300	GM0003	Appingedam	NEE	9902	1	100	50	45	17	12	15	41	14	41	53	3	3	18	40	25	38	38	2,5	1	2	0	-99999997	-99999997	-99999997	-99999997	65	1,6	12	15	10	50	15	25	40	6,0	0,1	1,0	1,1	6,0	0,1	1,0	1,1	3,1	0,0	0,5	1,1	2,6	0,0	1,4	3,0	0,9	3,6	23,6	3,4	20,6	3,4	582	554	28
BU00030009	Verspreide huizen ten noorden van het Damsterdiep	WK000300	GM0003	Appingedam	NEE	9901	1	150	75	75	22	9	18	35	17	41	51	7	1	20	60	23	41	36	2,5	5	0	0	-99999997	-99999997	-99999997	-99999997	55	0,9	7	25	5	40	15	10	45	5,5	0,2	1,0	1,0	5,5	0,2	1,0	1,0	3,3	0,0	0,3	1,5	2,9	0,0	1,0	2,7	1,3	2,4	25,6	2,6	22,7	2,7	769	756	13
BU00050000	Bedum	WK000500	GM0005	Bedum	NEE	9781	1	7920	3925	3995	17	12	21	30	19	43	46	5	6	2572	3300	30	33	37	2,4	4	2	0	0	0	0	2	3500	1,1	1136	385	315	2870	630	1150	2350	10,6	0,0	0,1	4,0	10,6	0,0	0,1	2,0	0,6	2,3	4,0	4,6	0,6	2,7	4,0	4,7	0,8	1,5	11,7	0,9	8,2	1,3	313	308	5
BU00050001	Verspreide huizen Bedum	WK000500	GM0005	Bedum	NEE	9781	1	645	335	310	21	12	26	31	10	49	45	4	2	30	235	19	33	48	2,8	5	2	0	0	0	0	1	265	1,1	12	95	25	195	75	65	200	11,0	0,0	0,3	4,0	11,0	0,0	0,3	2,0	1,8	0,2	3,2	5,2	1,8	0,2	3,0	5,5	1,1	2,8	12,1	2,2	8,9	2,5	2190	2176	14
BU00050002	Zuidwolde	WK000500	GM0005	Bedum	NEE	9785	1	945	465	480	16	12	19	36	17	44	45	7	3	1326	410	29	36	36	2,3	6	2	0	0	0	0	1	485	1,2	680	55	115	380	105	120	365	5,8	0,0	2,6	4,0	5,8	0,0	2,0	2,0	0,5	1,0	11,4	32,0	0,4	1,1	12,1	30,4	1,0	5,0	7,0	2,2	3,4	4,5	74	71	3
BU00050003	Verspreide huizen Zuidwolde	WK000500	GM0005	Bedum	NEE	9785	1	115	65	50	14	14	18	40	14	40	53	4	3	17	45	26	45	30	2,4	5	3	0	-99999997	-99999997	-99999997	-99999997	55	1,2	8	10	5	35	20	5	45	6,7	0,0	1,6	4,0	6,7	0,0	1,5	2,0	2,2	0,2	3,9	18,8	1,9	0,2	5,0	19,4	2,1	5,7	7,9	3,6	4,8	5,7	699	693	6
BU00050004	Onderdendam	WK000500	GM0005	Bedum	NEE	9959	1	540	290	255	17	14	24	32	13	47	42	7	5	979	235	33	31	36	2,3	3	1	0	-99999997	-99999997	-99999997	-99999997	305	1,3	550	35	40	250	55	65	240	14,2	0,0	0,0	4,0	14,2	0,0	0,0	2,0	4,0	0,0	0,0	5,6	4,1	0,0	0,0	5,6	0,2	3,6	15,3	4,0	11,9	4,4	60	55	4
BU00050005	Verspreide huizen Onderdendam	WK000500	GM0005	Bedum	NEE	9959	1	95	50	45	14	13	24	33	15	49	45	3	2	18	35	8	47	44	2,7	7	0	0	-99999997	-99999997	-99999997	-99999997	45	1,3	8	15	10	30	20	10	40	14,8	0,0	0,0	3,4	14,8	0,0	0,0	2,0	3,9	0,0	0,4	2,8	4,0	0,0	0,3	2,6	1,1	3,9	15,9	4,2	12,4	4,3	540	534	6
BU00050006	Noordwolde	WK000500	GM0005	Bedum	NEE	9784	1	135	65	70	15	14	16	37	18	42	46	5	7	580	55	26	33	40	2,4	7	1	0	-99999997	-99999997	-99999997	-99999997	75	1,3	315	15	5	60	15	20	55	6,9	0,0	1,0	4,0	6,9	0,0	1,0	2,0	1,2	0,1	4,1	17,9	1,1	0,2	5,7	18,9	1,5	4,2	8,0	3,4	4,6	3,1	24	24	0
